step,a_t,norm_r_t,norm_delta_t,backbone_frac,a_dot,r_dot,probe_ood_acc,probe_in_acc,val_loss,train_loss,lr,cur_lambda
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.749960088729859,32.34640312194824,6.666666666666667e-07,2.0
200,0.685080861452088,5.719622620226044,5.76050507376417,0.014143683955600327,0.003442617394231598,0.028741822212191175,0.0,0.0085,4.355027151107788,21.420012680130387,0.00013333333333333334,2.0
400,3.054787561523949,13.804106629465256,14.13807224782846,0.046685459087894794,0.011848533500359304,0.058777931417865234,0.0025,0.0305,3.439976763725281,12.97857658624649,0.0002666666666666667,2.0
600,7.25532265639419,23.848816504624708,24.928011463442896,0.0847106844129675,0.02100267547435121,0.08901320210069903,0.01,0.064,3.0153478741645814,11.41357178926468,0.00039999999999999996,2.0
800,13.212575942006838,35.3463864757922,37.73511892020103,0.12259804564190353,0.02978626642806324,0.12246830903143319,0.032,0.092,2.88176029920578,10.797469056844712,0.0005333333333333334,2.0
1000,20.91718985827881,47.74356799959552,52.12463061646298,0.16103515515289085,0.03852306958135986,0.15486659921494236,0.0415,0.077,2.827854537963867,10.526801766157151,0.0006666666666666666,2.0
1200,30.034241578870652,59.81055439649153,66.92800672691496,0.2013805661913595,0.045585258602959214,0.1848483860678586,0.0785,0.102,2.7019601345062254,10.435439116954804,0.0007999999999999999,2.0
1400,40.797555620235094,72.10502049360312,82.84669290306068,0.24250345625736033,0.053816570206822206,0.22347262328355344,0.069,0.1085,2.6755216121673584,10.22287637591362,0.0009333333333333334,2.0
1600,53.13209102417783,83.48565150781181,98.95894656012632,0.2882728149887745,0.06167267701971369,0.25642935737618855,0.1115,0.142,2.567354512214661,9.871914196014405,0.0009996585300715115,2.0
1800,66.5375043967196,90.3087068974472,112.17353534963996,0.3518456616597626,0.06702706686270883,0.28003485989650967,0.4615,0.5985,2.514588439464569,7.132948909401893,0.000996929568447637,2.0
2000,78.74354839057308,93.81560418768669,122.48230077134667,0.41331702156215583,0.06103021996926742,0.2628778981409726,0.6375,0.8205,2.429560422897339,4.311835470795631,0.000991486549841951,2.0
2200,88.52750231724919,95.2006718392367,130.0011022460047,0.4637269685950042,0.048919769633380523,0.2504505153125697,0.6655,0.8535,2.391897511482239,3.613022565841675,0.0009833592021345938,2.0
2400,96.58956140018323,95.24728616631653,135.65245627535884,0.5069966199905653,0.04031029541467021,0.2460948685195992,0.534,0.8045,2.262517088651657,3.4181438916921616,0.0009725919140804099,2.0
2600,103.50728518329325,94.0897055209649,139.88077341451046,0.547552525081213,0.0345886189155501,0.24205334454835462,0.44,0.8165,2.27363902926445,3.3037216132879257,0.0009592434928729616,2.0
2800,109.41669350638377,92.44988692463265,143.2445266327976,0.5834600165340935,0.029547041615452584,0.24037308178926378,0.25,0.738,2.2250527501106263,3.341594210267067,0.0009433868429600309,2.0
3000,114.76153116811648,90.40474058184304,146.09321050523064,0.6170673983378782,0.026724188308663556,0.24111341093199726,0.2125,0.757,2.1336296439170837,3.240056369304657,0.0009251085678648072,2.0
3200,119.38751611732717,87.49081634050594,148.0135870405065,0.6506009094799843,0.023129924746053448,0.23517450368835235,0.28,0.8005,2.135565537214279,3.159395538568497,0.0009045084971874737,2.0
3400,123.63237761212696,84.18520291613528,149.57310314378492,0.6832150663763447,0.021224307473998963,0.22828609110290082,0.2935,0.886,2.1299728453159332,2.8974477219581605,0.0008816991413705516,2.0
3600,127.23609767045215,80.82010367486644,150.7345803338748,0.7125164400584291,0.018018600291625973,0.22203242628579264,0.2,0.724,2.113854205608368,2.8229479348659514,0.0008568050772058762,2.0
3800,130.0407431466696,77.26921539144787,151.26508693468165,0.7390630378009503,0.014023227381087223,0.2137225743836691,0.2165,0.84,1.9881741046905517,2.8184746408462527,0.0008299622674393614,2.0
4000,132.7733501903548,73.8416131564711,151.92546315323366,0.7637666473241771,0.01366303521842596,0.20843384696164452,0.3505,0.8815,2.0480286478996277,2.705572986602783,0.0008013173181896282,2.0
4200,135.29269964302048,71.38493216350257,152.9703341066322,0.7822296887649806,0.012596747263328467,0.22874564961880217,0.4595,0.8525,2.143862408399582,4.711909921169281,0.0007710266782362247,4.0
4400,137.07659241842964,67.80218505398949,152.92850776468967,0.8034330593165661,0.008919463877045786,0.20060374055305236,0.3345,0.898,2.0487542510032655,3.4735935312509536,0.0007392557845506433,4.0
4600,138.3857111499468,64.2905152233023,152.59054819404955,0.8224835738465349,0.006545593657585727,0.18944041190987537,0.4145,0.923,1.976552391052246,3.1492003083229063,0.0007061781587369518,4.0
4800,139.56067679050417,60.75572804410877,152.2118293576648,0.8406773036323087,0.005874828202786944,0.18098150217109701,0.4165,0.925,1.9289748251438141,2.835850665569305,0.0006719744593169641,4.0
5000,140.5077422532279,56.93828259551994,151.60604756420062,0.8589491603227358,0.00473532731361857,0.1667771288748548,0.374,0.929,1.836749517917633,2.4899515360593796,0.0006368314950360416,4.0
5200,141.02376147050433,53.64618955618601,150.88278547668244,0.8735850685418001,0.0025800960863821844,0.15451394046908962,0.3845,0.911,1.8638768434524535,2.4110874730348586,0.0006009412045785051,4.0
5400,141.53910387554166,50.425248384718735,150.2531983039255,0.8873714113851096,0.0025767120251866515,0.14457138660819585,0.491,0.925,1.7018096625804902,2.2703426575660703,0.0005644996082651017,4.0
5600,141.60841855532718,48.074090342806755,149.54618807588912,0.8966592864813167,0.00034657339892760317,0.13476119076990878,0.531,0.9435,1.7238225281238555,2.362613251507282,0.000527705737457985,4.0
5800,141.52659597043993,46.148870470096206,148.86065837772657,0.903891393428004,-0.0004091129244362435,0.1265137593609015,0.526,0.944,1.6618120074272156,2.225303744673729,0.0004907605475204352,4.0
6000,141.2992858672582,44.47995915706936,148.13492145076157,0.909840009658991,-0.0011365505159086809,0.11644886109062247,0.4345,0.94,1.585624587535858,2.1277438724040985,0.00045386582026834903,4.0
6200,140.85508532212947,43.39277998267391,147.38754498173955,0.9133211024784473,-0.0022210027256436148,0.1069962172810702,0.321,0.856,1.5527235209941863,2.0656912076473235,0.000417223061907935,4.0
